vehicle_id,trip_id,distance_km,payload_kg,ambient_temp_C,energy_used_kWh,energy_per_km_kWh,voltage,current,estimated_battery_health
EV-001,1,63.3,148.0,36.8,10.28,0.1624,397.5,25.9,0.9979
EV-001,2,40.7,431.0,40.3,7.45,0.1829,400.1,18.6,0.9929
EV-001,3,37.5,341.0,27.4,6.2,0.1655,396.6,15.6,0.989
EV-001,4,55.3,318.0,28.0,9.51,0.1719,401.3,23.7,0.9858
EV-001,5,64.6,237.0,32.4,11.11,0.1721,399.3,27.8,0.9835
EV-001,6,48.3,222.0,40.2,8.22,0.1704,399.9,20.6,0.9826
EV-001,7,78.9,267.0,44.5,13.9,0.176,400.4,34.7,0.9805
EV-001,8,62.7,373.0,37.7,10.32,0.1647,398.8,25.9,0.9766
EV-001,9,51.5,450.0,44.7,9.56,0.1858,401.6,23.8,0.9719
EV-001,10,46.6,304.0,33.9,7.71,0.1655,399.2,19.3,0.9736
EV-001,11,43.9,368.0,32.3,7.48,0.1704,400.7,18.7,0.97
EV-001,12,65.1,334.0,33.1,11.3,0.1737,399.1,28.3,0.9633
EV-001,13,49.1,350.0,28.9,8.32,0.1694,400.0,20.8,0.9594
EV-001,14,28.3,370.0,44.1,5.22,0.1845,399.9,13.0,0.9583
EV-001,15,46.9,437.0,32.8,8.34,0.1778,399.9,20.8,0.9575
EV-001,16,65.6,133.0,37.7,10.89,0.1661,397.3,27.4,0.9527
EV-001,17,35.0,405.0,38.3,6.38,0.1821,400.1,15.9,0.9501
EV-001,18,34.6,197.0,37.0,5.32,0.1534,398.5,13.3,0.9456
EV-001,19,54.2,178.0,25.1,8.43,0.1554,400.4,21.0,0.9439
EV-001,20,54.3,329.0,47.7,10.12,0.1865,394.8,25.6,0.9431
EV-001,21,59.9,138.0,45.8,10.43,0.1742,396.1,26.3,0.9365
EV-001,22,71.7,454.0,29.8,12.53,0.1747,399.7,31.3,0.9343
EV-001,23,64.8,351.0,31.7,11.43,0.1762,402.7,28.4,0.9315
EV-001,24,58.6,389.0,37.0,10.37,0.177,400.6,25.9,0.9286
EV-001,25,64.7,106.0,45.7,12.04,0.186,397.5,30.3,0.9222
EV-001,26,42.8,338.0,47.6,8.21,0.192,395.4,20.8,0.9182
EV-001,27,44.9,323.0,30.9,7.69,0.1712,400.2,19.2,0.917
EV-001,28,37.6,164.0,38.0,6.36,0.1693,398.6,16.0,0.9163
EV-001,29,41.2,161.0,43.6,7.22,0.1755,399.9,18.1,0.9141
EV-001,30,59.7,378.0,34.1,10.33,0.173,398.9,25.9,0.9089
EV-001,31,30.1,228.0,41.8,5.33,0.1772,398.7,13.4,0.9098
EV-001,32,48.9,377.0,28.7,8.49,0.1738,404.5,21.0,0.9037
EV-001,33,48.7,322.0,38.8,8.9,0.1827,398.5,22.3,0.901
EV-001,34,52.2,256.0,44.9,9.69,0.1857,398.1,24.3,0.8976
EV-001,35,48.4,470.0,47.6,9.44,0.195,398.2,23.7,0.8953
EV-001,36,42.2,437.0,26.8,7.04,0.1669,397.2,17.7,0.8934
EV-001,37,48.4,243.0,34.9,8.19,0.1691,400.3,20.5,0.8903
EV-001,38,74.1,117.0,29.7,12.56,0.1694,397.6,31.6,0.8842
EV-001,39,76.9,222.0,35.4,13.59,0.1766,399.6,34.0,0.886
EV-001,40,52.6,259.0,37.6,9.39,0.1785,398.7,23.6,0.8778
EV-001,41,59.3,382.0,27.1,10.0,0.1686,400.6,25.0,0.8772
EV-001,42,31.4,498.0,31.8,5.74,0.1831,398.9,14.4,0.8735
EV-001,43,42.5,242.0,46.3,7.59,0.1787,395.6,19.2,0.8689
EV-001,44,47.8,405.0,38.1,8.71,0.1822,395.4,22.0,0.8678
EV-001,45,72.6,337.0,35.5,12.93,0.178,400.8,32.3,0.8635
EV-001,46,38.8,377.0,42.3,7.22,0.1862,396.7,18.2,0.8621
EV-001,47,51.6,160.0,42.1,9.38,0.1819,395.3,23.7,0.8598
EV-001,48,79.2,260.0,26.1,12.6,0.1591,396.5,31.8,0.8589
EV-001,49,53.6,196.0,41.3,9.33,0.1741,400.3,23.3,0.8536
EV-001,50,58.7,237.0,44.3,10.38,0.1769,394.9,26.3,0.8488
